"NT_GER","QE_I08","QE_I04","QE_I05"
30.6,"A","B","B"
30.6,"A","D","E"
30.6,"B","B","D"
30.6,"B","D","B"
30.6,"A","B","D"
30.6,"A","C","E"
30.6,"F","D","D"
30.6,"B","C","D"
30.6,"A","D","D"
30.5,"C","B","F"
30.5,"A","C","B"
30.5,"A","C","D"
30.5,"A","E","F"
30.5,"B","D","D"
30.5,"A","D","D"
30.5,"C","D","D"
30.5,"B","B","E"
30.5,"A","D","B"
30.5,"C","D","E"
30.5,"A","E","D"
30.5,"A","B","D"
30.5,"A","B","C"
30.5,NA,NA,NA
30.5,"A","B","A"
30.5,"A","B","D"
30.5,"A","B","C"
30.5,"B","B","F"
30.5,"E","E","E"
30.5,"B","D","A"
30.5,"B","D","B"
30.4,"E","C","C"
30.4,"C","E","E"
30.4,"A","A","C"
30.4,"A","A","A"
30.4,"B","B","B"
30.4,"D","E","E"
30.4,"C","D","E"
30.4,"A","C","D"
30.4,"E","F","F"
30.4,"A","D","C"
30.4,"A","B","D"
30.4,"E","F","D"
30.4,"B","C","E"
30.4,"B","D","C"
30.4,"C","B","C"
30.4,"B","A","F"
30.4,"B","A","A"
30.4,"A","B","B"
30.4,"E","C","D"
30.4,"B","D","E"
30.3,"B","A","A"
30.3,"B","D","E"
30.3,"A","A","A"
30.3,"B","D","D"
30.3,"B","B","D"
30.3,"B","D","D"
30.3,"C","E","D"
30.3,"B","E","C"
30.3,"A","D","D"
30.3,"A","B","C"
30.3,"B","D","B"
30.3,"A","C","B"
30.3,"B","C","D"
30.3,"D","B","C"
30.3,"A","B","D"
30.3,"A","A","B"
30.2,"A","B","D"
30.2,"B","B","D"
30.2,"B","D","D"
30.2,"A","A","A"
30.2,"C","C","B"
30.2,NA,NA,NA
30.2,"A","C","D"
30.2,"B","C","B"
30.2,"B","E","E"
30.2,"A","B","D"
30.2,"A","B","B"
30.2,"A","D","D"
30.2,"A","C","D"
30.2,"A","A","B"
30.2,"A","B","B"
30.2,"G","E","E"
30.1,"A","B","B"
30.1,"C","A","B"
30.1,"A","B","B"
30.1,"A","B","B"
30.1,"A","B","B"
30.1,"C","A","C"
30.1,"A","B","D"
30.1,"A","B","B"
30.1,"E","C","E"
30.1,"A","B","C"
30.1,"C","D","E"
30.1,"D","E","F"
30,"B","B","D"
30,"A","A","B"
30,"A","A","A"
30,"C","E","F"
30,"A","B","C"
30,"C","D","E"
30,"C","D","E"
30,"A","B","B"
30,"A","D","D"
30,"C","B","F"
30,"A","B","B"
30,"B","B","B"
30,"A","B","C"
30,"F","D","E"
29.9,"B","B","B"
29.9,NA,NA,NA
29.9,"B","C","C"
29.9,"B","B","E"
29.9,"F","E","D"
29.9,"F","E","E"
29.9,"A","D","D"
29.9,"E","D","D"
29.9,"C","B","B"
29.9,"C","D","D"
29.9,"A","E","D"
29.9,"A","A","A"
29.9,"B","B","D"
29.9,"D","D","E"
29.9,"F","F","F"
29.8,"C","D","B"
29.8,"A","B","C"
29.8,"B","C","D"
29.8,"A","B","B"
29.8,"A","A","A"
29.8,"A","A","D"
29.8,"B","E","E"
29.8,"C","D","D"
29.8,"B","D","D"
29.8,"B","A","A"
29.8,"C","F","E"
29.8,"A","B","B"
29.8,"A","B","F"
29.7,"C","B","B"
29.7,"C","D","D"
29.7,"D","E","D"
29.7,"B","E","E"
29.7,"C","C","D"
29.7,"A","B","D"
29.7,"A","B","C"
29.7,"A","D","E"
29.7,"A","A","B"
29.7,"A","D","D"
29.7,"B","B","D"
29.7,"B","D","D"
29.7,"A","D","E"
29.6,"A","B","B"
29.6,"C","C","B"
29.6,"D","B","E"
29.6,"D","E","D"
29.6,"B","B","B"
29.6,"B","E","F"
29.6,"F","E","E"
29.6,"A","B","A"
29.6,"B","B","B"
29.6,NA,NA,NA
29.6,"C","D","E"
29.5,"A","B","B"
29.5,"B","C","B"
29.5,"B","A","B"
29.5,"A","B","D"
29.5,"A","B","B"
29.5,"E","C","F"
29.5,"B","B","B"
29.5,"B","B","C"
29.5,"B","B","F"
29.5,"A","B","B"
29.5,"A","E","D"
29.5,"E","E","F"
29.5,"D","D","D"
29.4,"A","B","D"
29.4,"A","A","A"
29.4,"D","C","F"
29.4,"B","A","B"
29.4,"A","A","B"
29.4,NA,NA,NA
29.4,"B","B","B"
29.4,"C","D","C"
29.3,"C","B","D"
29.3,"A","B","C"
29.3,"A","C","B"
29.3,"B","D","D"
29.3,"A","A","B"
29.3,"B","E","B"
29.3,"D","E","D"
29.3,"B","D","F"
29.3,"B","B","B"
29.3,"A","B","A"
29.3,"A","A","B"
29.3,"A","A","A"
29.3,"A","B","B"
29.3,"B","B","B"
29.3,"A","D","E"
29.3,"F","F","E"
29.3,"F","E","E"
29.3,"C","D","D"
29.2,"C","D","E"
29.2,"A","C","B"
29.2,"A","D","D"
29.2,"A","A","D"
29.2,"B","E","E"
29.2,"D","D","D"
29.2,"B","C","D"
29.2,"D","D","D"
29.2,"B","B","B"
29.2,"A","C","D"
29.2,"A","D","E"
29.2,NA,NA,NA
29.1,"B","A","E"
29.1,"A","A","A"
29.1,"B","D","C"
29.1,"E","F","D"
29.1,"B","D","E"
29.1,"B","A","D"
29.1,"D","B","B"
29.1,"A","C","C"
29.1,"B","D","E"
29.1,"A","B","C"
29,"A","B","C"
29,"A","D","E"
29,"B","C","D"
29,"F","D","F"
29,"B","D","B"
29,"A","B","C"
29,"A","B","B"
29,"A","A","A"
29,"A","C","B"
29,"F","E","E"
29,"A","D","E"
29,"A","A","B"
28.9,NA,NA,NA
28.9,"B","C","E"
28.9,"B","B","E"
28.9,"A","B","C"
28.9,"A","A","B"
28.9,"B","D","D"
28.9,"B","E","E"
28.9,"C","B","B"
28.9,"B","E","F"
28.9,"A","A","B"
28.9,"C","C","E"
28.9,"C","D","E"
28.8,"A","B","B"
28.8,"B","D","C"
28.8,"A","D","C"
28.8,"A","B","B"
28.8,"C","E","E"
28.8,"B","B","D"
28.8,"F","E","D"
28.8,"B","B","E"
28.8,"G","E","E"
28.8,"E","D","E"
28.8,"B","B","B"
28.8,"A","D","E"
28.8,"B","D","D"
28.8,"A","B","B"
28.8,"B","B","B"
28.8,"B","C","C"
28.7,"A","A","B"
28.7,"B","C","B"
28.7,"A","B","E"
28.7,"B","A","B"
28.7,"B","E","D"
28.7,"A","D","B"
28.7,"B","C","D"
28.7,"B","B","E"
28.7,"B","B","D"
28.7,"A","B","B"
28.6,"D","B","C"
28.6,"B","D","D"
28.6,"D","A","F"
28.6,"B","B","C"
28.6,"A","B","B"
28.6,"A","B","B"
28.6,"A","C","C"
28.6,"B","B","B"
28.6,"A","D","D"
28.5,"A","A","A"
28.5,"B","D","D"
28.5,"B","D","C"
28.5,NA,NA,NA
28.5,"A","A","B"
28.5,"B","B","F"
28.5,"A","B","F"
28.5,"A","E","E"
28.5,"B","B","B"
28.5,"A","A","B"
28.5,"A","E","D"
28.5,"A","B","C"
28.5,"A","A","E"
28.4,"B","D","D"
28.4,"F","E","F"
28.4,"E","E","F"
28.4,"B","B","B"
28.4,"A","B","B"
28.4,"A","D","D"
28.4,"A","B","D"
28.4,"B","B","B"
28.4,"B","E","E"
28.3,"C","F","D"
28.3,"B","C","D"
28.3,"C","D","D"
28.3,"A","B","B"
28.3,"B","D","F"
28.3,"D","B","E"
28.3,"F","F","F"
28.3,"E","B","F"
28.3,"B","A","B"
28.3,"B","A","D"
28.2,"C","D","F"
28.2,"A","B","A"
28.2,"A","A","B"
28.2,"C","B","F"
28.2,"B","A","B"
28.2,"C","C","C"
28.2,"A","A","A"
28.2,"C","D","B"
28.2,"A","A","A"
28.2,"A","B","D"
28.2,"B","D","E"
28.1,"B","C","C"
28.1,"B","E","B"
28.1,"A","B","C"
28.1,"B","B","D"
28.1,"A","A","B"
28.1,"B","C","C"
28.1,"A","D","C"
28.1,"C","E","E"
28.1,"A","C","B"
28.1,"A","C","D"
28.1,"A","A","A"
28.1,"C","B","C"
28.1,"A","A","A"
28.1,"B","D","D"
28.1,"C","D","D"
28.1,"B","B","D"
28,"A","A","B"
28,"A","F","D"
28,"B","F","D"
28,"F","E","E"
28,"B","D","E"
27.9,"B","E","C"
27.9,"E","E","D"
27.9,"B","C","C"
27.9,"A","A","C"
27.9,"B","B","C"
27.9,"A","A","B"
27.9,"C","D","B"
27.9,"B","D","E"
27.8,"E","B","B"
27.8,"B","C","B"
27.8,"A","D","B"
27.8,"B","C","D"
27.8,"D","B","D"
27.8,"B","A","A"
27.8,"C","D","F"
27.8,"C","D","D"
27.8,"B","C","D"
27.8,"A","B","C"
27.8,"B","A","A"
27.8,"A","B","B"
27.8,"B","D","D"
27.8,"A","A","B"
27.8,"A","B","B"
27.7,"D","E","E"
27.7,"A","B","B"
27.7,"C","E","D"
27.7,"A","C","C"
27.7,"A","B","A"
27.7,"E","D","F"
27.7,"B","E","C"
27.7,"B","D","D"
27.7,"A","D","B"
27.7,"A","C","D"
27.7,"D","E","F"
27.7,"A","B","B"
27.7,"C","F","F"
27.7,"A","B","B"
27.6,"B","D","D"
27.6,"A","E","C"
27.6,"C","B","A"
27.6,"A","A","A"
27.6,"A","D","D"
27.6,"C","A","D"
27.6,"F","D","D"
27.6,"D","E","E"
27.6,"C","B","F"
27.6,"B","B","B"
27.6,"B","D","D"
27.6,"F","B","A"
27.6,"B","D","E"
27.5,"B","A","A"
27.5,"B","A","A"
27.5,"C","B","B"
27.5,"B","B","B"
27.5,"A","A","B"
27.5,"F","E","F"
27.5,"B","D","B"
27.5,"A","A","B"
27.5,"A","B","B"
27.5,"A","B","E"
27.5,"A","A","B"
27.5,"E","D","D"
27.5,"A","D","B"
27.4,"B","B","B"
27.4,"A","E","D"
27.4,"C","E","E"
27.4,"A","D","C"
27.4,"C","C","D"
27.4,"A","B","B"
27.4,"A","C","D"
27.4,"B","B","E"
27.4,NA,NA,NA
27.4,"A","C","B"
27.3,"B","D","D"
27.3,"A","B","F"
27.3,"A","D","D"
27.3,"A","A","B"
27.3,"B","A","B"
27.3,"C","F","F"
27.3,"D","E","E"
27.3,"E","D","E"
27.3,"B","A","B"
27.3,"A","B","B"
27.3,"B","D","E"
27.3,"A","A","B"
27.3,"A","D","D"
27.3,"A","D","E"
27.3,"C","E","F"
27.2,"B","D","B"
27.2,"A","D","E"
27.2,"C","F","D"
27.2,"B","E","D"
27.2,"A","A","A"
27.2,"A","D","D"
27.2,"A","A","A"
27.2,"B","D","B"
27.2,"A","A","A"
27.2,"A","A","B"
27.2,"B","A","F"
27.2,"C","C","E"
27.1,"A","B","B"
27.1,"C","B","B"
27.1,"C","C","B"
27.1,"B","B","D"
27.1,"A","A","B"
27.1,"B","C","C"
27.1,"A","B","A"
27.1,"A","A","B"
27.1,"A","D","B"
27,"A","B","B"
27,"A","C","C"
27,"B","A","A"
27,"A","A","B"
27,"B","A","B"
27,"B","D","D"
27,"A","A","E"
27,"E","E","E"
27,"A","B","D"
26.9,"B","F","D"
26.9,NA,NA,NA
26.9,"B","D","C"
26.9,"A","D","B"
26.9,"A","C","B"
26.9,"A","D","F"
26.9,"E","D","E"
26.9,"B","B","D"
26.9,"A","A","A"
26.9,"A","D","C"
26.9,NA,NA,NA
26.9,NA,NA,NA
26.9,"B","B","C"
26.9,"B","E","B"
26.9,"B","C","D"
26.9,"D","F","D"
26.8,"B","B","D"
26.8,"C","A","B"
26.8,"A","A","B"
26.8,NA,NA,NA
26.8,"A","B","B"
26.8,"C","D","D"
26.8,"G","B","B"
26.8,"A","B","D"
26.8,NA,NA,NA
26.8,"C","B","B"
26.8,"B","D","E"
26.8,"B","C","E"
26.7,"B","B","C"
26.7,"A","B","A"
26.7,"B","A","A"
26.6,"A","C","D"
26.6,"E","E","F"
26.6,"A","C","D"
26.6,"A","B","A"
26.6,"A","B","D"
26.6,"A","A","B"
26.6,"A","D","C"
26.6,"A","B","B"
26.5,"B","D","F"
26.5,"C","B","C"
26.5,"B","D","C"
26.5,NA,NA,NA
26.5,"F","D","D"
26.5,"C","B","E"
26.5,"D","E","F"
26.4,"A","B","B"
26.4,"B","D","D"
26.4,"A","B","B"
26.4,"A","D","C"
26.4,"E","A","A"
26.4,"C","C","D"
26.4,"A","B","B"
26.4,"B","A","A"
26.3,NA,NA,NA
26.3,"C","D","D"
26.3,"A","D","D"
26.3,"B","D","D"
26.3,"A","F","D"
26.3,"B","A","D"
26.3,"A","A","D"
26.3,"D","A","A"
26.3,"B","D","D"
26.3,"A","B","B"
26.2,"A","B","B"
26.2,"E","E","E"
26.2,"A","A","C"
26.2,"A","B","B"
26.1,"E","D","C"
26.1,"A","B","B"
26.1,"A","B","E"
26.1,"E","F","E"
26.1,"A","B","B"
26.1,"B","E","D"
26.1,"B","D","C"
26.1,"B","D","D"
26,NA,NA,NA
26,"F","E","D"
26,"B","C","B"
26,"A","B","B"
26,"A","B","D"
26,"A","A","A"
26,"B","A","B"
26,"A","D","D"
25.9,"A","B","C"
25.9,"E","F","F"
25.9,"B","C","C"
25.9,"A","E","D"
25.9,"C","C","C"
25.9,"A","B","B"
25.9,"A","B","B"
25.9,"A","A","D"
25.9,"B","D","D"
25.8,"B","E","F"
25.8,"C","D","D"
25.8,"B","A","E"
25.8,"C","E","C"
25.8,"B","A","A"
25.8,"A","B","C"
25.8,"E","B","B"
25.8,"B","D","D"
25.8,"B","C","E"
25.8,"C","A","B"
25.8,"B","B","E"
25.7,"A","D","D"
25.7,"B","B","B"
25.7,"A","B","B"
25.7,"A","B","B"
25.7,"A","B","D"
25.7,"A","A","B"
25.7,"C","D","D"
25.7,"B","D","D"
25.7,"E","C","D"
25.6,"B","A","A"
25.6,"A","E","D"
25.6,"D","B","B"
25.6,"D","F","E"
25.6,"A","C","C"
25.6,"A","E","B"
25.6,"A","B","D"
25.6,"E","D","E"
25.5,"A","B","B"
25.5,"A","B","D"
25.5,"B","D","F"
25.5,"A","C","A"
25.4,NA,NA,NA
25.4,"B","B","B"
25.4,"E","B","C"
25.4,"A","D","D"
25.4,"C","C","C"
25.3,NA,NA,NA
25.3,"F","D","E"
25.3,"A","A","B"
25.3,"A","A","B"
25.3,"A","B","C"
25.3,"A","B","C"
25.2,"C","D","D"
25.2,"B","C","B"
25.2,"A","A","A"
25.2,"A","D","D"
25.2,"C","D","D"
25.2,"B","C","B"
25.1,"A","B","B"
25.1,"A","B","B"
25.1,"A","A","A"
25.1,"A","B","B"
25.1,"D","D","D"
25.1,"A","C","E"
25.1,"A","B","C"
25,"A","D","E"
25,"A","A","E"
25,"A","B","A"
25,"B","B","B"
25,"C","E","D"
25,"B","B","D"
25,"C","D","F"
25,"A","C","B"
25,NA,NA,NA
25,"C","A","B"
25,"B","D","D"
25,"A","A","D"
24.9,"B","C","B"
24.9,"C","B","C"
24.9,"E","F","F"
24.9,"B","B","B"
24.9,"B","D","F"
24.9,"C","D","D"
24.8,"B","D","C"
24.8,"D","A","B"
24.8,"A","B","B"
24.8,"A","B","D"
24.8,"E","E","E"
24.7,"B","D","F"
24.7,"A","E","B"
24.7,"B","D","E"
24.7,"A","A","A"
24.7,"B","E","C"
24.7,"F","E","F"
24.7,"E","D","D"
24.7,"B","E","E"
24.7,"A","A","A"
24.6,"A","A","C"
24.6,"A","C","B"
24.6,"B","D","D"
24.6,"A","B","C"
24.6,"B","A","A"
24.6,"B","A","B"
24.6,"C","C","B"
24.6,"A","A","B"
24.6,"A","B","D"
24.6,"B","D","D"
24.6,"C","A","B"
24.5,"E","D","D"
24.5,"A","B","B"
24.5,"B","A","C"
24.5,"A","B","B"
24.5,"B","D","D"
24.5,"B","B","C"
24.4,"A","B","B"
24.4,"A","B","E"
24.4,"B","D","E"
24.4,"F","D","E"
24.4,"A","D","B"
24.4,"A","B","B"
24.4,"B","B","B"
24.4,"A","D","C"
24.4,"C","D","B"
24.4,"A","B","A"
24.3,"A","A","B"
24.3,"A","D","B"
24.3,"B","E","B"
24.3,"E","E","F"
24.3,"A","D","B"
24.3,"A","A","A"
24.3,"B","B","D"
24.3,"E","F","E"
24.3,"B","D","E"
24.3,"A","C","D"
24.3,"F","E","E"
24.2,"A","C","B"
24.2,"C","B","B"
24.2,"C","D","E"
24.2,"A","C","B"
24.2,"A","B","E"
24.2,"A","D","F"
24.2,"A","B","D"
24.2,"A","C","C"
24.2,"A","B","B"
24.1,"A","D","D"
24.1,"C","B","B"
24.1,"B","B","D"
24.1,"E","B","B"
24.1,"B","B","B"
24.1,"A","C","E"
24.1,"A","C","D"
24.1,"B","C","C"
24.1,"B","B","D"
24,"A","B","B"
24,"A","B","C"
24,"F","E","F"
24,"A","B","B"
24,"C","C","B"
24,"A","D","D"
24,"A","B","B"
24,"A","B","B"
24,"C","D","D"
24,"B","E","C"
24,"B","D","E"
23.9,"B","B","B"
23.9,"A","C","C"
23.9,"A","B","D"
23.9,NA,NA,NA
23.9,"A","D","B"
23.9,"A","B","B"
23.9,"C","C","D"
23.9,"A","A","A"
23.9,"A","A","D"
23.9,"B","D","B"
23.9,"B","A","B"
23.9,"A","D","D"
23.8,"A","B","D"
23.8,"B","B","B"
23.8,"B","C","B"
23.8,"B","D","B"
23.8,"A","B","C"
23.8,"A","D","C"
23.7,"A","B","B"
23.7,"A","A","A"
23.7,"E","E","F"
23.7,"D","B","E"
23.7,"A","B","B"
23.7,"A","B","B"
23.7,"E","D","D"
23.7,"B","C","E"
23.6,"B","B","B"
23.6,"A","A","A"
23.6,"C","A","A"
23.6,"B","E","A"
23.6,"B","B","B"
23.6,"G","A","C"
23.6,"A","B","C"
23.5,"A","B","B"
23.5,"A","B","E"
23.5,"A","B","D"
23.5,"A","D","B"
23.5,"A","B","B"
23.5,"B","B","B"
23.5,"D","E","E"
23.5,"A","D","E"
23.4,"C","D","D"
23.4,"B","E","B"
23.4,"A","D","D"
23.4,"A","B","B"
23.4,"A","A","A"
23.4,"A","A","B"
23.4,"B","D","D"
23.4,"B","C","B"
23.4,NA,NA,NA
23.3,"A","B","B"
23.3,"A","D","D"
23.3,"C","B","D"
23.3,"C","B","C"
23.3,"C","F","D"
23.2,"A","A","A"
23.2,"A","A","B"
23.1,"C","B","B"
23.1,"C","D","B"
23.1,"B","C","C"
23.1,NA,NA,NA
23.1,"A","D","F"
23.1,"A","A","A"
23.1,"A","D","D"
23.1,"A","B","B"
23,"B","B","E"
23,"A","B","B"
23,"B","B","D"
22.9,"C","D","E"
22.9,"A","B","B"
22.9,"D","E","F"
22.9,"B","E","C"
22.9,"C","A","C"
22.9,"A","B","B"
22.8,"A","B","B"
22.8,"B","D","D"
22.8,"A","E","B"
22.8,"A","A","B"
22.8,"A","B","D"
22.8,"A","D","C"
22.7,"A","B","B"
22.7,"A","A","B"
22.7,"A","E","D"
22.7,"B","A","C"
22.7,NA,NA,NA
22.7,"A","B","B"
22.7,"E","D","F"
22.6,"A","B","D"
22.6,"A","D","D"
22.6,"C","C","E"
22.6,NA,NA,NA
22.5,"A","B","A"
22.5,"B","A","B"
22.5,"B","E","E"
22.5,"B","B","B"
22.4,"B","B","B"
22.4,"A","B","B"
22.4,"B","B","B"
22.4,"A","A","C"
22.4,"A","E","D"
22.4,"A","B","B"
22.4,"A","B","B"
22.3,"A","C","C"
22.3,"B","C","D"
22.3,"B","D","E"
22.3,"A","D","B"
22.3,"B","C","B"
22.3,"B","B","C"
22.3,"B","D","B"
22.2,"B","A","C"
22.2,"E","D","C"
22.2,"D","E","F"
22.1,"B","B","A"
22.1,"B","D","D"
22.1,"D","B","E"
22.1,"B","E","E"
22.1,"C","F","F"
22.1,"B","A","A"
22.1,"A","A","D"
22.1,"B","E","E"
22.1,"B","C","B"
22,"B","D","C"
22,"A","B","B"
22,"B","B","B"
22,"B","B","A"
22,"B","C","D"
22,"B","C","D"
21.9,"A","C","C"
21.9,"C","C","B"
21.9,"B","A","A"
21.9,"C","E","C"
21.9,"G","D","D"
21.9,"B","F","E"
21.9,"A","B","B"
21.9,"A","B","C"
21.9,"B","D","D"
21.9,"A","D","C"
21.8,"E","B","D"
21.8,"D","D","E"
21.8,"A","B","C"
21.6,"A","C","A"
21.6,"A","A","A"
21.6,"D","D","E"
21.6,"A","B","B"
21.6,"A","C","A"
21.6,"A","E","E"
21.5,"A","A","B"
21.5,"B","E","B"
21.5,"C","A","C"
21.5,"A","A","B"
21.5,"B","A","B"
21.4,"B","D","D"
21.4,"A","D","D"
21.4,"A","A","A"
21.4,"A","B","B"
21.4,"A","D","D"
21.4,"B","C","D"
21.4,"B","B","C"
21.4,"A","B","B"
21.4,"A","A","F"
21.4,"A","B","B"
21.4,"C","E","E"
21.3,"A","D","D"
21.3,"A","D","D"
21.3,"C","D","D"
21.3,NA,NA,NA
21.3,"A","A","A"
21.3,"B","A","A"
21.3,"C","E","D"
21.3,"C","B","B"
21.2,"A","E","D"
21.2,"B","D","B"
21.2,"B","A","B"
21.1,"C","B","B"
21.1,"D","D","D"
21,"B","A","B"
21,"A","A","C"
21,"A","C","C"
21,"B","D","D"
20.9,"A","D","D"
20.9,"D","D","E"
20.9,"A","B","D"
20.9,"A","B","D"
20.8,"A","C","C"
20.8,"A","A","D"
20.8,"B","B","D"
20.7,"A","B","D"
20.7,"A","A","A"
20.7,"B","B","B"
20.7,"A","B","B"
20.6,"A","E","D"
20.6,"D","B","B"
20.6,"A","C","A"
20.6,"B","D","D"
20.5,"A","C","B"
20.5,"A","B","B"
20.5,"A","B","D"
20.5,"C","A","A"
20.5,"C","D","D"
20.5,"B","D","D"
20.5,"B","D","E"
20.4,"B","A","A"
20.4,"C","C","D"
20.4,"C","A","A"
20.4,"D","F","F"
20.4,"B","D","E"
20.4,"A","B","A"
20.3,"E","A","A"
20.2,"B","B","E"
20.2,"A","A","A"
20.2,"A","E","B"
20.2,"B","D","D"
20.1,"A","B","B"
20.1,"A","E","D"
20.1,"A","B","B"
20,"D","D","D"
20,"B","B","B"
20,"F","A","A"
19.9,"B","D","D"
19.9,"B","C","B"
19.8,"B","A","B"
19.8,"A","C","D"
19.7,"B","B","B"
19.7,"C","B","B"
19.7,"B","C","D"
19.7,"A","A","B"
19.7,"A","B","B"
19.7,"A","A","B"
19.7,"A","B","B"
19.6,"A","D","C"
19.5,"A","A","A"
19.5,"A","B","B"
19.4,"A","B","B"
19.3,"B","B","B"
19.3,"C","B","D"
19.2,"B","D","D"
19.2,"C","F","D"
19.2,"A","B","B"
19.1,"A","A","D"
18.9,"B","B","B"
18.9,"A","B","D"
18.9,"B","B","B"
18.8,"B","C","D"
18.8,"A","B","B"
18.8,"A","B","C"
18.8,"A","B","B"
18.8,"A","E","D"
18.7,"B","B","B"
18.7,"F","E","E"
18.6,"A","B","C"
18.6,"A","B","B"
18.6,"B","A","E"
18.5,NA,NA,NA
18.4,"B","A","C"
18.4,"C","C","B"
18.3,"B","B","C"
18.2,"A","B","C"
18.2,NA,NA,NA
18.2,"B","D","D"
18.1,"B","B","C"
18.1,"A","A","A"
18.1,"B","B","B"
18.1,"F","E","F"
18.1,"A","A","B"
18,"A","B","B"
17.9,"A","A","C"
17.9,"A","E","D"
17.9,"C","B","D"
17.9,"D","D","D"
17.8,"A","B","C"
17.8,"A","A","C"
17.7,"B","B","A"
17.7,"A","D","D"
17.6,"C","E","C"
17.6,"B","B","B"
17.6,"B","B","B"
17.6,"A","B","B"
17.5,"A","B","B"
17.4,"A","B","B"
17.3,"B","D","D"
17.2,NA,NA,NA
17.2,"D","D","D"
17.2,"B","B","C"
17.1,"A","A","B"
17.1,"A","D","B"
17.1,"C","C","B"
17,"C","D","D"
16.9,"A","B","B"
16.9,"A","A","B"
16.8,"A","E","E"
16.7,"B","B","C"
16.7,"B","B","B"
16.7,"C","E","E"
16.7,"A","D","D"
16.7,"B","D","B"
16.6,"B","C","F"
16.6,"A","B","C"
16.6,"A","B","B"
16.5,"A","A","A"
16.4,"A","D","D"
16.4,"A","A","D"
16.4,"A","B","D"
16.3,"C","C","B"
16.2,"B","B","B"
16,NA,NA,NA
16,"B","B","D"
15.8,"A","B","B"
15.5,"A","B","B"
15.4,"A","B","B"
15.4,"F","D","F"
15.3,"C","B","A"
15.3,"A","B","B"
15.2,"A","A","A"
15.2,"A","C","C"
15.1,"C","B","B"
15,"A","C","D"
15,"C","B","B"
14.7,"A","B","B"
14.3,"B","D","B"
14.3,"E","F","F"
14,"A","C","C"
14,"A","D","D"
14,"B","D","C"
13.9,"B","B","B"
13.8,"A","B","B"
13.5,"A","D","D"
13.4,"A","C","E"
13.3,"C","C","F"
13.3,"C","C","D"
13.2,"A","B","B"
13.2,NA,NA,NA
12.8,"C","D","E"
12.5,"B","A","A"
12.2,"A","B","B"
11.8,"B","B","B"
11.6,"A","B","B"
11.1,"A","B","D"
11,"B","A","B"
10.9,"A","B","B"
10.5,"A","A","B"
10.3,"A","D","E"
10.3,"B","A","A"
10.3,"C","D","C"
9.4,"A","D","E"
9.1,"B","D","C"
8.8,"A","B","F"
8,"A","C","E"
7.4,"B","C","C"
7.4,"A","B","B"
7.1,"A","B","B"
5.9,"C","A","A"
3.1,NA,NA,NA
0,NA,NA,NA
0,"F","D","F"
NA,"A","B","B"
NA,"A","D","D"
